time,altitude,phase,airspeed,ergy
6.88558e+06,29923.7,10.6169,1918.12,2.11907e+06,2.1191e+06
6.88559e+06,28139.6,8.90487,1862.87,1.9987e+06,1.99874e+06
6.8856e+06,26170.7,7.22925,1786.14,1.84103e+06,1.84107e+06
6.88561e+06,24049.2,5.65242,1682.92,1.64282e+06,1.64286e+06
6.88562e+06,21744.9,4.18335,1544.79,1.39893e+06,1.39897e+06
6.88563e+06,19270.7,2.86075,1344.27,1.08659e+06,1.08663e+06
6.88564e+06,16850.3,1.81769,967.637,628848,628891
6.88565e+06,14608.2,1.10039,650.312,351265,351305
6.88565e+06,14394.4,1.04454,622.41,331511,331551
6.88565e+06,14182.8,0.991334,595.303,313028,313067
6.88565e+06,13973.3,0.940697,569.017,295764,295803
6.88565e+06,13766,0.892558,543.537,279648,279687
6.88565e+06,13561,0.846847,518.847,264611,264650
6.88565e+06,13358.3,0.803496,494.955,250600,250637
6.88565e+06,13158,0.762432,471.885,237567,237604
6.88565e+06,12960.1,0.723585,449.628,225454,225491
6.88565e+06,12764.9,0.686888,428.012,214133,214170
6.88566e+06,12572.3,0.652292,406.819,203477,203513
6.88566e+06,12383,0.619802,384.592,192901,192936
6.88566e+06,12198.7,0.589606,358.899,181615,181649
6.88566e+06,12021.5,0.561967,330.667,170213,170245
6.88566e+06,11852.2,0.536871,305.614,160647,160678
6.88566e+06,11687.6,0.513757,289.829,154396,154427
6.88566e+06,11523.8,0.491974,280.381,150156,150187
6.88566e+06,11358.5,0.47117,274.074,146846,146878
6.88566e+06,11190.8,0.451174,269.339,143975,144007
6.88566e+06,11020.3,0.4319,265.387,141306,141338
6.88567e+06,10847,0.413306,261.884,138742,138775
6.88567e+06,10670.8,0.395362,258.749,136258,136292
6.88567e+06,10491.9,0.378041,255.924,133836,133870
6.88567e+06,10310.2,0.36132,253.359,131462,131496
6.88567e+06,10126,0.345181,251.008,129122,129157
6.88567e+06,9939.39,0.329605,248.835,126808,126843
6.88567e+06,9750.39,0.314577,246.806,124510,124546
6.88567e+06,9559.21,0.300083,244.892,122223,122260
6.88567e+06,9365.99,0.286109,243.068,119941,119978
6.88567e+06,9170.91,0.272643,241.312,117660,117698
6.88568e+06,8974.13,0.259674,239.605,115377,115414
6.88568e+06,8775.83,0.247191,237.934,113089,113127
6.88568e+06,8576.14,0.23518,236.376,110816,110855
6.88568e+06,8375.15,0.223625,234.942,108562,108600
6.88568e+06,8172.94,0.212512,233.609,106320,106359
6.88568e+06,7969.6,0.201825,232.356,104086,104125
6.88568e+06,7765.24,0.19155,231.167,101858,101897
6.88568e+06,7559.95,0.181676,230.025,99632,99670.9
6.88568e+06,7353.83,0.172189,228.918,97405,97444.9
6.88568e+06,7147.01,0.163078,227.834,95178,95217.4
6.88569e+06,6939.59,0.154331,226.765,92947,92987.2
6.88569e+06,6731.67,0.145937,225.702,90714,90753.4
6.88569e+06,6523.37,0.137885,224.638,88476,88515.6
6.88569e+06,6314.8,0.130164,223.568,86233,86273.3
6.88569e+06,6106.06,0.122765,222.485,83986,84026.5
6.88569e+06,5897.26,0.115677,221.385,81735,81775.2
6.88569e+06,5688.51,0.10889,220.265,79479,79519.5
6.88569e+06,5479.89,0.102394,219.12,77220,77259.8
6.88569e+06,5271.53,0.0961803,217.948,74956,74996.4
6.88569e+06,5063.51,0.0902394,216.746,72690,72730
6.8857e+06,4855.92,0.0845621,215.517,70422,70461.9
6.8857e+06,4648.86,0.0791392,214.263,68154,68193.5
6.8857e+06,4442.39,0.0739619,212.984,65886,65926
6.8857e+06,4236.61,0.0690213,211.684,63621,63660.7
6.8857e+06,4031.57,0.0643087,210.364,61359,61398.8
6.8857e+06,3827.35,0.0598155,209.025,59102,59141.3
6.8857e+06,3623.99,0.0555335,207.67,56850,56889.2
6.8857e+06,3421.56,0.0514545,206.299,54604,54643.5
6.8857e+06,3220.11,0.0475703,204.915,52366,52405
6.8857e+06,3019.67,0.0438733,203.519,50136,50174.7
6.88571e+06,2820.3,0.0403557,202.113,47914,47953.1
6.88571e+06,2622.03,0.0370103,200.697,45703,45741.1
6.88571e+06,2424.9,0.0338297,199.273,43501,43539.4
6.88571e+06,2228.94,0.030807,197.843,41310,41348.4
6.88571e+06,2034.17,0.0279353,196.407,39131,39168.8
6.88571e+06,1840.62,0.0252081,194.967,36964,37001.2
6.88571e+06,1648.32,0.022619,193.523,34808,34845.8
6.88571e+06,1457.28,0.0201619,192.077,32666,32703.2
6.88571e+06,1267.53,0.0178307,190.63,30537,30573.8
6.88571e+06,1079.07,0.0156197,189.182,28421,28458
6.88572e+06,891.955,0.0135645,187.669,26344,26344
6.88572e+06,717.651,0.0116952,168.291,21190,21190.2
6.88572e+06,567.369,0.0101011,130.13,14026,14025.6
6.88572e+06,451.128,0.00833831,100.907,9512,9511.89
6.88572e+06,361.033,0.0065587,78.2516,6600,6600.05
6.88572e+06,291.27,0.00533652,60.7116,4698,4697.94
6.88572e+06,242.024,0.00474779,48.2482,3536,3536.43
6.88572e+06,199.275,0.0043952,37.5411,2658,2658.24
6.88572e+06,165.049,0.00409764,28.9668,2038,2037.67
6.88572e+06,141,0.00384263,22.9498,1646,1645.76
6.88573e+06,122.094,0.00355771,18.1956,1363,1362.63
6.88573e+06,105.074,0.0031914,20.5716,1242,1241.84
6.88573e+06,85.0091,0.00286011,17.9636,995,994.881
6.88573e+06,69.3416,0.00257732,14.0038,778,777.983
6.88573e+06,57.2125,0.0023232,10.937,621,620.818
6.88573e+06,47.8207,0.00209805,8.55657,506,505.531
6.88573e+06,41.1812,0.00191879,6.86726,427,427.401
