time,altitude,phase_angle,airspeed,specific_energy
16327048.6256461,69000.5566639859,160.959090032003,2095.52257604936,2802688
16327058.6256461,68864.8526328634,159.149701673859,2095.99065980249,2802598
16327068.7856461,68722.1663939164,157.339527128203,2096.47754738183,2802492
16327078.7856461,68577.1248308476,155.528543994546,2096.96707803221,2802373
16327088.7856461,68427.6510055765,153.745496444011,2097.46602054748,2802238
16327098.5775295,68278.1678803611,151.973879178174,2097.95961597899,2802092
16327108.6175293,68121.6693077893,150.167589432856,2098.47064012298,2801926
16327118.5575291,67962.7193792204,148.378434409257,2098.98357800798,2801745
16327128.5575289,67798.9141636735,146.574000692116,2099.50575018011,2801544
16327138.6175287,67630.313978949,144.765064281686,2100.03629089476,2801322
16327148.6375284,67458.7122019784,142.958817471728,2100.56888396512,2801081
16327158.5975282,67284.6318709482,141.162468535981,2101.10128632265,2800819
16327168.597528,67106.4584353404,139.357972666426,2101.63767366231,2800533
16327178.6375278,66924.2719082637,137.545307907745,2102.17692489995,2800220
16327188.5775275,66740.7574101207,135.749749574906,2102.71054432564,2799884
16327198.5775273,66553.0904495794,133.938776966855,2103.24631863339,2799520
16327208.6375271,66361.323589511,132.123212255308,2103.78347116102,2799125
16327218.6175269,66168.2355917341,130.317521328684,2104.31382863477,2798705
16327228.5575266,65973.1979217882,128.514472953226,2104.83891685447,2798257
16327238.5775264,65773.9289253706,126.699573938184,2105.36445587585,2797776
16327248.6375262,65571.2597542739,124.880053226335,2105.88772430324,2797263
16327258.657526,65366.879108344,123.063156265661,2106.40405793805,2796721
16327268.5975257,65161.7167092607,121.25977461971,2106.9110385453,2796152
16327278.6175255,64952.5323104829,119.440877530236,2107.41642882672,2795546
16327288.6175253,64741.4473839222,117.624606655771,2107.91478447234,2794910
16327298.5575251,64529.3806564168,115.818237522803,2108.40388359603,2794246
16327308.5975249,64312.9454151026,113.992686496318,2108.8913010537,2793542
16327318.6375246,64094.2967397819,112.166120304071,2109.37186480734,2792805
16327328.5775244,63875.6708576868,110.356746258292,2109.84071631192,2792043
16327338.5775242,63653.579027734,108.535445161794,2110.3053033468,2791243
16327348.577524,63429.3454006226,106.713135403778,2110.76266163564,2790410
16327358.6175237,63202.0634253814,104.882521417545,2111.21450425517,2789539
16327368.6375235,62973.0813253343,103.054539869281,2111.65807779719,2788637
16327378.5575233,62744.2531599039,101.243803339591,2112.08997413931,2787710
16327388.6175231,62510.0082797244,99.4028436143949,2112.52062961517,2786735
16327398.5975228,62275.418562787,97.5827920049185,2112.94061324363,2785734
16327408.5975226,62038.110967164,95.754422343144,2113.35413020084,2784697
16327418.6175224,61798.0191472574,93.9213818506161,2113.7606650037,2783621
16327428.6375222,61555.5515096742,92.0873261463993,2114.15878349658,2782506
16327438.5575219,61313.0906854937,90.2705745822442,2114.54396381564,2781364
16327448.5575217,61066.1645651298,88.4344997550186,2114.92251269916,2780169
16327458.5975215,60815.6280038781,86.5974116869489,2115.29199473353,2778926
16327468.5975213,60563.3862421217,84.7629816970332,2115.64872128742,2777639
16327478.6175211,60307.8331338518,82.9238739326162,2115.99403017244,2776301
16327488.6175208,60049.8703624237,81.0837586209821,2116.32549980938,2774912
16327498.6375206,59788.3236215847,79.2426388438192,2116.64309888275,2773463
16327508.5775204,59525.6676204714,77.4152300739421,2116.94216258538,2771965
16327518.5975202,59257.4943372454,75.5758021594796,2117.22563156196,2770386
16327528.5575199,58987.356783052,73.7427524987282,2117.48769226734,2768745
16327538.5775197,58711.8140919501,71.8976811516416,2117.72990021603,2767017
16327548.5775195,58432.8327832441,70.0516354377536,2117.94908836404,2765209
16327558.6375193,58147.895494215,68.2009359950473,2118.14548965874,2763303
16327568.557519,57862.4276026761,66.3714125366175,2118.31388731042,2761331
16327578.6175188,57568.0680422193,64.5151202161825,2118.45807330265,2759234
16327588.5775186,57271.5214397501,62.6726541140796,2118.57448483444,2757057
16327598.5975184,56967.7165246534,60.8218738038435,2118.66487498926,2754764
16327608.6175181,56658.0141196291,58.9701702335643,2118.72604795767,2752358
16327618.5775179,56343.9044293539,57.1323473713447,2118.75632768902,2749848
16327628.5975177,56021.2089312871,55.2788308431242,2118.75600232387,2747201
