time,facing_dot_north
5732654.84199738,-0.00136541553717863
5732654.94199738,-0.00145231936091385
5732655.04199738,-0.00153326314017009
5732655.14199737,-0.00162644855981006
5732655.24199737,-0.00182647485367227
5732655.34199737,-0.00196992119783411
5732655.44199737,-0.00218213429572166
5732655.54199737,-0.00231092172488838
5732655.64199736,-0.00251281022149106
5732655.74199736,-0.00259775338807334
5732655.84199736,-0.00278548428346858
5732655.94199736,-0.00282369666252337
5732656.04199735,-0.00287251125530863
5732656.14199735,-0.00286106697315299
5732656.24199735,-0.00281392470951234
5732656.34199735,-0.00272634917218239
5732656.44199735,-0.00260747998313935
5732656.54199734,-0.00246416573998826
5732656.64199734,-0.00230686590767427
5732656.74199734,-0.0021463239064268
5732656.84199734,-0.00199344217621371
5732656.94199733,-0.00185945798098476
5732657.04199733,-0.00175416866543988
5732657.14199733,-0.00168544005287508
5732657.24199733,-0.00165933970012836
5732657.34199733,-0.00167848024410875
5732657.44199732,-0.00174407941160667
5732657.54199732,-0.00185338296484543
5732657.64199732,-0.00200082094192149
5732657.74199732,-0.00217813954444601
5732657.84199731,-0.00237652159709338
5732657.94199731,-0.00258382612096158
5732658.04199731,-0.00278831284985975
5732658.14199731,-0.00297766907805441
5732658.24199731,-0.00314143415804668
5732658.3419973,-0.00326859822831209
5732658.4419973,-0.00335308651644226
5732658.5419973,-0.00338967507913594
5732658.6419973,-0.00337557255910195
5732658.74199729,-0.00331315121314094
5732658.84199729,-0.00320598914851645
5732658.94199729,-0.00306283187377614
5732659.04199729,-0.00289093476583094
5732659.14199729,-0.00270487095139019
5732659.24199728,-0.00251539250639199
5732659.34199728,-0.0023359388373292
5732659.44199728,-0.00217934123552821
5732659.54199728,-0.00205782649173726
5732659.64199727,-0.00197911114953931
5732659.74199727,-0.00195072815196054
5732659.84199727,-0.00197618102955638
5732659.94199727,-0.00205579710643792
5732660.04199727,-0.00218588576062946
5732660.14199726,-0.00235973932030521
5732660.24199726,-0.00256864347100789
5732660.34199726,-0.00280027685598822
5732660.44199726,-0.00304119684947131
5732660.54199725,-0.00327797357887013
5732660.64199725,-0.00349601228443592
5732660.74199725,-0.00368220462267863
5732660.84199725,-0.00382535204083347
5732660.94199725,-0.00391739171876956
5732661.04199724,-0.00395192024873431
5732661.14199724,-0.0039279316746644
5732661.24199724,-0.00384708714751398
5732661.34199724,-0.00371443539016037
5732661.44199723,-0.00353949350673281
5732661.54199723,-0.00333389634806109
5732661.64199723,-0.00311109537397697
5732661.74199723,-0.00290081394748071
5732661.84199722,-0.00270280592262894
5732661.94199722,-0.00257095563541407
5732662.04199722,-0.00250590822433822
5732662.14199722,-0.00250843972105529
