time,facing_dot_north
5732730.54199569,0.00570619270087096
5732730.64199569,0.00571510067107473
5732730.74199568,0.00572320513624314
5732730.84199568,0.00573113476129139
5732730.94199568,0.00573915583376121
5732731.04199568,0.00574770248094027
5732731.14199568,0.00575629576119706
5732731.24199567,0.00576591994614426
5732731.34199567,0.00577603104142977
5732731.44199567,0.00578809374866885
5732731.54199567,0.00580052103191114
5732731.64199566,0.00581448693542082
5732731.74199566,0.00583012415998752
5732731.84199566,0.00584822410017631
5732731.94199566,0.00586692370635489
5732732.04199566,0.00588631966334463
5732732.14199565,0.00590361086902324
5732732.24199565,0.00591899746188751
5732732.34199565,0.00593289300909492
5732732.44199565,0.00594440346761315
5732732.54199564,0.00595391443447644
5732732.64199564,0.00596252349987619
5732732.74199564,0.0059689494496783
5732732.84199564,0.00597421169956336
5732732.94199564,0.0059781883934924
5732733.04199563,0.00598146912136459
5732733.14199563,0.0059837136715328
5732733.24199563,0.0059861021160059
5732733.34199563,0.00599036285096751
5732733.44199562,0.00599560157709208
5732733.54199562,0.00600368896094238
5732733.64199562,0.00601339735380815
5732733.74199562,0.00602568357502913
5732733.84199562,0.00603950806559347
5732733.94199561,0.00605305623041146
5732734.04199561,0.00606685484530484
5732734.14199561,0.00608108095163399
5732734.24199561,0.0060933274905197
5732734.3419956,0.00610523802423408
5732734.4419956,0.00611585591348844
5732734.5419956,0.00612507917773562
5732734.6419956,0.00613392272800298
5732734.7419956,0.00614215725025273
5732734.84199559,0.00615055519356413
5732734.94199559,0.00615853864896519
5732735.04199559,0.00616597286035103
5732735.14199559,0.00617271222479358
5732735.24199558,0.00617801244775595
5732735.34199558,0.00618257038764701
5732735.44199558,0.00618655845483266
5732735.54199558,0.00619086902065459
5732735.64199558,0.00619462180325652
5732735.74199557,0.00619899226151756
5732735.84199557,0.00620281992050406
5732735.94199557,0.0062077256936652
5732736.04199557,0.00621221796348942
5732736.14199556,0.00621742445660511
5732736.24199556,0.00622272216747528
5732736.34199556,0.00622872825839264
5732736.44199556,0.00623456553551577
5732736.54199556,0.00624020004233129
5732736.64199555,0.00624673412231384
5732736.74199555,0.00625372279154029
5732736.84199555,0.00626091112081787
5732736.94199555,0.00626858534448037
5732737.04199554,0.00627800520182182
5732737.14199554,0.00628738384740922
5732737.24199554,0.00629741842253518
5732737.34199554,0.00630763141824323
5732737.44199554,0.00631795126517584
5732737.54199553,0.00632822345201495
5732737.64199553,0.00633842045444019
5732737.74199553,0.00634755604677052
5732737.84199553,0.00635664383442843
5732737.94199552,0.00636435423560327
5732738.04199552,0.00637107961077208
5732738.14199552,0.0063770143452986
5732738.24199552,0.00638341610700771
5732738.34199551,0.00639031218542294
5732738.44199551,0.00639808636724106
5732738.54199551,0.00640821791809867
5732738.64199551,0.00641888422675338
5732738.74199551,0.00643097491962827
5732738.8419955,0.0064440784563298
5732738.9419955,0.00645771759662737
5732739.0419955,0.00647325986005355
5732739.1419955,0.00648929582397547
5732739.24199549,0.00650506454441021
5732739.34199549,0.00652056315741809
5732739.44199549,0.0065350009947407
5732739.54199549,0.0065479099511343
5732739.64199549,0.00655918957358183
5732739.74199548,0.00656848401712158
5732739.84199548,0.00657668950690829
5732739.94199548,0.00658347209793974
5732740.04199548,0.00658937849492869
5732740.14199547,0.00659424500210039
5732740.24199547,0.00659880314388547
5732740.34199547,0.00660309864931625
5732740.44199547,0.00660829247398501
5732740.54199547,0.00661441907366894
5732740.64199546,0.00662204961934312
5732740.74199546,0.00663104462955762
5732740.84199546,0.00664131849767564
5732740.94199546,0.00665311169320615
5732741.04199545,0.00666570345531814
5732741.14199545,0.00667911159699577
5732741.24199545,0.00669381042002489
5732741.34199545,0.00670894648040016
5732741.44199545,0.0067243365767529
5732741.54199544,0.00673970788423751
5732741.64199544,0.00675416915969678
5732741.74199544,0.00676824641238248
5732741.84199544,0.0067811655068857
5732741.94199543,0.00679346552641539
5732742.04199543,0.00680502118179642
5732742.14199543,0.0068156123006138
5732742.24199543,0.00682582047523747
5732742.34199543,0.00683589031836013
5732742.44199542,0.00684517526842002
5732742.54199542,0.00685530197439702
5732742.64199542,0.00686512900734835
5732742.74199542,0.00687487110602068
5732742.84199541,0.00688490153885778
5732742.94199541,0.00689452480126848
5732743.04199541,0.00690417291769344
5732743.14199541,0.00691356735216443
5732743.24199541,0.00692250773419928
5732743.3419954,0.00693192726379527
5732743.4419954,0.00694091984419313
5732743.5419954,0.00694922643454352
5732743.6419954,0.00695707044904372
5732743.74199539,0.00696410486952831
5732743.84199539,0.00697085491405323
5732743.94199539,0.00697658779413642
5732744.04199539,0.00698272398450173
5732744.14199539,0.00698861738376186
5732744.24199538,0.0069947206741925
5732744.34199538,0.00700049325873097
5732744.44199538,0.00700671404377278
5732744.54199538,0.00701283829035002
5732744.64199537,0.00701901769644742
5732744.74199537,0.00702509277912603
5732744.84199537,0.00703110496148558
5732744.94199537,0.00703689819386323
5732745.04199537,0.00704410255274462
5732745.14199536,0.00705195512140487
5732745.24199536,0.00706033951530849
5732745.34199536,0.00706904807770116
5732745.44199536,0.00707807631278562
5732745.54199535,0.00708703492919459
5732745.64199535,0.00709597467339174
5732745.74199535,0.00710544068878508
5732745.84199535,0.00711360437013842
5732745.94199535,0.0071205753780914
5732746.04199534,0.00712717187812707
5732746.14199534,0.00713231721822654
5732746.24199534,0.00713691526566349
5732746.34199534,0.00714097211278224
5732746.44199533,0.00714443012231146
5732746.54199533,0.00714736767288201
5732746.64199533,0.0071499868357178
5732746.74199533,0.00715360615629535
5732746.84199532,0.0071566231166593
5732746.94199532,0.00716054128029876
5732747.04199532,0.00716473707105959
5732747.14199532,0.00716975190791838
5732747.24199532,0.00717580079337931
5732747.34199531,0.00718217532326105
5732747.44199531,0.00718927090481173
5732747.54199531,0.00719687494970741
5732747.64199531,0.00720448257464217
5732747.7419953,0.00721270423624463
5732747.8419953,0.00722063670113013
5732747.9419953,0.00722879384624381
5732748.0419953,0.00723719890985389
5732748.1419953,0.00724477105733278
5732748.24199529,0.00725234158826647
5732748.34199529,0.00725935921443689
5732748.44199529,0.00726560134028155
5732748.54199529,0.00727165196920246
5732748.64199528,0.00727682972120593
5732748.74199528,0.00728123815645286
5732748.84199528,0.00728581636114419
5732748.94199528,0.00729038617787031
5732749.04199528,0.007295015663985
5732749.14199527,0.00729931652986659
5732749.24199527,0.00730395624213585
5732749.34199527,0.007308709224698
5732749.44199527,0.00731447097502066
5732749.54199526,0.00732085491301065
5732749.64199526,0.0073282633057821
5732749.74199526,0.00733529702697216
5732749.84199526,0.00734310194596389
5732749.94199526,0.00735078570874734
5732750.04199525,0.00735824638703734
5732750.14199525,0.00736585544344176
5732750.24199525,0.00737353391759335
5732750.34199525,0.00737952408867638
5732750.44199524,0.00738440453695512
5732750.54199524,0.00738827299624121
5732750.64199524,0.00739200377874456
5732750.74199524,0.00739470583588213
5732750.84199524,0.00739719182546398
5732750.94199523,0.0073996717389804
5732751.04199523,0.00740217021724813
5732751.14199523,0.00740501532530785
5732751.24199523,0.00740793239868088
5732751.34199522,0.00741198385444819
5732751.44199522,0.00741692291894988
5732751.54199522,0.00742221145689211
5732751.64199522,0.00742769446269578
5732751.74199522,0.00743337813246559
5732751.84199521,0.007439970821247
5732751.94199521,0.00744655964107456
5732752.04199521,0.00745356763967593
5732752.14199521,0.00746010529963172
5732752.2419952,0.00746662279430054
5732752.3419952,0.00747311711155692
5732752.4419952,0.00747988340403799
5732752.5419952,0.00748613107507596
5732752.6419952,0.00749191216647178
5732752.74199519,0.00749682065805859
5732752.84199519,0.00750139719176263
5732752.94199519,0.00750529246891723
5732753.04199519,0.00750853741122357
5732753.14199518,0.00751171434933909
5732753.24199518,0.00751467644112916
5732753.34199518,0.00751741010440084
5732753.44199518,0.007519921845945
5732753.54199518,0.00752317258123933
5732753.64199517,0.00752655035292874
5732753.74199517,0.0075302000685973
5732753.84199517,0.00753392073397224
5732753.94199517,0.00753759125256267
5732754.04199516,0.00754153112888213
5732754.14199516,0.00754649414120231
5732754.24199516,0.00755224411490535
5732754.34199516,0.00755847358997359
5732754.44199516,0.00756512921284551
5732754.54199515,0.00757220578835788
5732754.64199515,0.00757951754743216
5732754.74199515,0.00758533443413806
5732754.84199515,0.00759066684401729
5732754.94199514,0.00759532651598869
5732755.04199514,0.0075995140513088
5732755.14199514,0.0076032224209229
5732755.24199514,0.00760601270559725
5732755.34199513,0.00760866486310357
5732755.44199513,0.00761109729257056
5732755.54199513,0.0076134544147234
5732755.64199513,0.00761547025329712
5732755.74199513,0.00761787584131623
5732755.84199512,0.00762026985910645
5732755.94199512,0.00762272248721787
5732756.04199512,0.00762570663485664
5732756.14199512,0.00762867249628048
5732756.24199511,0.00763165414899356
5732756.34199511,0.00763472827423099
5732756.44199511,0.00763792498361811
5732756.54199511,0.00764183656491558
5732756.64199511,0.00764645049485742
5732756.7419951,0.0076516346496367
5732756.8419951,0.00765726935593271
5732756.9419951,0.00766212962426999
5732757.0419951,0.0076665673981797
5732757.14199509,0.00767090158650433
5732757.24199509,0.0076748050070216
5732757.34199509,0.00767783827427247
5732757.44199509,0.00768039378499443
5732757.54199509,0.00768224114081096
5732757.64199508,0.00768335111171017
5732757.74199508,0.00768454308344903
5732757.84199508,0.00768465285174378
5732757.94199508,0.00768458746713587
5732758.04199507,0.00768424131928208
5732758.14199507,0.00768387191237679
5732758.24199507,0.00768344445146934
5732758.34199507,0.0076830816700927
5732758.44199507,0.00768316169588901
5732758.54199506,0.00768385885019829
5732758.64199506,0.00768520106097645
5732758.74199506,0.00768686854958351
5732758.84199506,0.00768872840602995
5732758.94199505,0.00769052870252817
5732759.04199505,0.0076912730598634
5732759.14199505,0.00810462053905697
5732759.24199505,0.00793749891921747
5732759.34199505,0.00796759975821854
5732759.44199504,0.00794946885225683
5732759.54199504,0.00793507051153743
5732759.64199504,0.00791782581633868
5732759.74199504,0.00789656345753646
5732759.84199503,0.00787300786977576
5732759.94199503,0.00784712495360867
5732760.04199503,0.00781968352616031
5732760.14199503,0.00779098178545372
5732760.24199503,0.00776175755443865
5732760.34199502,0.00773132310529746
5732760.44199502,0.00770234193268437
5732760.54199502,0.00767429452076794
5732760.64199502,0.00764801811301765
5732760.74199501,0.00762400794183893
5732760.84199501,0.00760218384298003
5732760.94199501,0.0075835567303064
5732761.04199501,0.00756765997803791
5732761.14199501,0.00755488809223894
5732761.241995,0.00754584729944805
5732761.341995,0.00753978709255102
5732761.441995,0.00753699646274992
5732761.541995,0.00753752593559807
5732761.64199499,0.00754231379194045
5732761.74199499,0.00754610150983661
5732761.84199499,0.00755574828485331
5732761.94199499,0.00756569564462151
5732762.04199499,0.00758014251492504
5732762.14199498,0.00759096635944278
5732762.24199498,0.00760655573909921
5732762.34199498,0.00762057536486981
5732762.44199498,0.00763484217445944
5732762.54199497,0.00764815817335829
5732762.64199497,0.00766283657035795
5732762.74199497,0.00767169753561782
5732762.84199497,0.00768320272118629
5732762.94199497,0.00769022632473961
5732763.04199496,0.00769612345058651
5732763.14199496,0.00769914292724708
5732763.24199496,0.00769981107861635
5732763.34199496,0.00769919925047258
5732763.44199495,0.00769342093729997
5732763.54199495,0.00768945236576297
5732763.64199495,0.00767894696359184
5732763.74199495,0.00766923442257359
5732763.84199495,0.00765669738556949
5732763.94199494,0.00764410387848804
5732764.04199494,0.00762738698150692
5732764.14199494,0.00761290984794837
5732764.24199494,0.00759604309945271
5732764.34199493,0.00757952252791794
5732764.44199493,0.00756276761015102
5732764.54199493,0.00754833985704185
5732764.64199493,0.00753132094830667
5732764.74199492,0.00752016790098261
5732764.84199492,0.00750466901263145
5732764.94199492,0.00749445968945418
5732765.04199492,0.00748450940007192
5732765.14199492,0.00747642748090972
5732765.24199491,0.00747074548989546
5732765.34199491,0.00746627071721631
5732765.44199491,0.00746374992428882
5732765.54199491,0.00746261522429948
5732765.6419949,0.00746318681103584
5732765.7419949,0.00746716754197335
5732765.8419949,0.00746911470895529
5732765.9419949,0.00747518793695297
5732766.0419949,0.00748093421660953
5732766.14199489,0.00748782471336515
5732766.24199489,0.00749600882882404
5732766.34199489,0.00750405727519323
5732766.44199489,0.00751226009055897
5732766.54199488,0.00751933012356605
5732766.64199488,0.00752660870694415
5732766.74199488,0.0075338670496207
5732766.84199488,0.00753835756699527
5732766.94199488,0.00754361896301124
5732767.04199487,0.00754655394938838
5732767.14199487,0.00754845131995456
5732767.24199487,0.00755039028797616
5732767.34199487,0.00754778299542374
5732767.44199486,0.00754644568220636
5732767.54199486,0.0075427121229414
5732767.64199486,0.00753796971624316
5732767.74199486,0.00753177122927162
5732767.84199486,0.00752619443400675
5732767.94199485,0.00751668786177243
5732768.04199485,0.00750940078342103
5732768.14199485,0.00750018205223806
5732768.24199485,0.00749079811778351
5732768.34199484,0.00748188729734883
5732768.44199484,0.00747266036883272
5732768.54199484,0.00746350408526757
5732768.64199484,0.00745497060080378
5732768.74199484,0.00744759029060699
5732768.84199483,0.00744012838437417
5732768.94199483,0.00743443025434956
5732769.04199483,0.00742876464580675
5732769.14199483,0.00742420451893042
5732769.24199482,0.00742067850657271
5732769.34199482,0.00741884570151274
5732769.44199482,0.00741682379796656
5732769.54199482,0.00741661772414473
5732769.64199482,0.0074192103701693
5732769.74199481,0.00741890809380824
5732769.84199481,0.00742237663569075
5732769.94199481,0.00742501522548749
5732770.04199481,0.00742903823896631
5732770.1419948,0.00743235147194947
5732770.2419948,0.00743706916858852
5732770.3419948,0.00744104428738926
5732770.4419948,0.00744491794439853
5732770.5419948,0.0074291629197072
5732770.64199479,0.0074293508167091
5732770.74199479,0.00741572711511309
5732770.84199479,0.00739765365090986
5732770.94199479,0.0073723320116859
5732771.04199478,0.00733991310340724
5732771.14199478,0.00731887933742476
5732771.24199478,0.00727712219137432
5732771.34199478,0.00724079161898781
5732771.44199478,0.00720074994101781
5732771.54199477,0.00716218783274916
5732771.64199477,0.00712233018314325
5732771.74199477,0.00708202335245833
5732771.84199477,0.00704659506024239
5732771.94199476,0.00700719126338523
5732772.04199476,0.00697353471480414
5732772.14199476,0.00693604289420307
5732772.24199476,0.00691077444101055
5732772.34199476,0.00687959211660718
5732772.44199475,0.00685180408458795
5732772.54199475,0.00683464677191863
5732772.64199475,0.00681273920071288
5732772.74199475,0.00679269258313866
5732772.84199474,0.00677841323996049
5732772.94199474,0.00676486831296134
5732773.04199474,0.00675190869971039
5732773.14199474,0.00674171689859402
5732773.24199473,0.00673750893898612
5732773.34199473,0.006731471491067
5732773.44199473,0.006724905390079
5732773.54199473,0.00672227007811453
5732773.64199473,0.00672135560161959
5732773.74199472,0.00672016643463616
