time,altitude,phase_angle,airspeed,specific_energy
8787180.25951283,54162.3417667727,93.833833538716,2118.38830430475,2730958
8787190.25951261,53820.5406776138,91.9783176165212,2118.04337323048,2727406
8787200.25951238,53467.8174599849,90.1221559931475,2117.64769681072,2723654
8787210.25951216,53103.3954504511,88.2653644823136,2117.19609809739,2719683
8787220.25951194,52726.4889529159,86.4079615879454,2116.68253519158,2715474
8787230.25951171,52336.2378475607,84.5499692407825,2116.09991240745,2711006
8787240.25951149,51931.6521558423,82.6914137106987,2115.43996846194,2706251
8787250.25951127,51511.614550942,80.8323265848869,2114.69322073793,2701180
8787260.25951104,51074.93493812,78.9727456995165,2113.84886431411,2695760
8787270.25951082,50620.3965532208,77.1127161516071,2112.8945398338,2689955
8787280.2595106,50146.7369844819,75.2522915459977,2111.81597838757,2683724
8787290.25951037,49652.5804361135,73.3915356526947,2110.59662285784,2677019
8787300.25951015,49136.3624471378,71.5305244223088,2109.21734594517,2669787
8787310.25950992,48596.2235051191,69.6693482581067,2107.65558741596,2661965
8787320.2595097,48030.2864733265,67.8081202123087,2105.87159162682,2653453
8787330.25950948,47436.6053864775,65.9469860944829,2103.82628335176,2644153
8787340.25950925,46812.9391665055,64.0861219988214,2101.47742530176,2633956
8787350.25950903,46156.8390828116,62.2257405299644,2098.77404848488,2622737
8787360.25950881,45465.5161559735,60.3660989844663,2095.65460879903,2610343
8787370.25950858,44735.7860032726,58.5075097670614,2092.04462511198,2596593
8787380.25950836,43964.215066856,56.6503528767024,2087.85450187143,2581275
8787390.25950814,43146.9659491462,54.7950906140716,2082.97689730874,2564137
8787400.25950791,42279.7789597079,52.9422849148454,2077.28341386021,2544883
8787410.25950769,41357.7996494988,51.092617235877,2070.6258085566,2523173
8787420.25950747,40375.4821178917,49.2469071889755,2062.8085059128,2498573
8787430.25950724,39326.5812273925,47.4062257995207,2053.47466960044,2470318
8787440.25950702,38204.0584064217,45.5719859804131,2042.20149030534,2437520
8787450.2595068,36999.9404053825,43.7460781385883,2028.3028469522,2398776
8787460.25950657,35705.1393700229,41.9312425688894,2010.63700599964,2351812
8787470.25950635,34309.0227293905,40.1313635270119,1987.83622981505,2294004
8787480.25950613,32799.123010507,38.3517925211513,1958.09127454792,2222039
8787490.2595059,31161.0767855527,36.5998299842513,1918.98685685828,2131754
8787500.25950568,29379.083405019,34.8856856091213,1866.58873383562,2016738
8787510.25950545,27437.1894559674,33.2242942722297,1794.85085212367,1868046
8787520.25950523,25321.4786754833,31.6372295378712,1696.16431039741,1676750
8787530.25950501,23023.7900823252,30.1533733275752,1563.49176224991,1439696
8787540.25950478,20551.1734830021,28.8089874638207,1389.45700747866,1160159
8787550.23950456,17962.8554557025,27.65575019857,1150.84693387052,833259
8787560.23950434,15364.0453321747,26.7426962906499,881.415078816668,535354
8787570.23950411,12878.8388618996,26.0860968297246,616.319776211491,313569
8787571.23950409,12642.2982344164,26.0341817606939,591.4888223302,296350
8787572.23950407,12408.4849510792,25.9846432171295,567.152071154227,280051
8787573.23950405,12177.5160823195,25.9374377131164,543.319462021543,264643
8787574.23950402,11949.514942417,25.8925205569906,520.006281584033,250100
