time,altitude,phase,airspeed,specific_energy
8.78763e+06,418.928,0.00414783,103.187,9429,9429.18
8.78763e+06,333.524,0.00289962,74.3095,6030,6029.89
8.78763e+06,269.643,0.00203397,56.063,4215,4214.64
8.78763e+06,221.373,0.00143459,42.3024,3065,3064.87
8.78764e+06,184.896,0.00102382,31.9242,2322,2322.23
8.78764e+06,157.327,0.000745181,24.0989,1833,1832.82
8.78764e+06,136.487,0.000557492,18.1955,1504,1503.72
8.78764e+06,120.736,0.000431021,13.7389,1278,1278.15
8.78764e+06,107.162,0.000341081,16.7517,1191,1191.03
8.78764e+06,89.8344,0.000261265,15.4107,1000,999.587
8.78764e+06,76.4539,0.000199308,11.638,817,817.383
8.78764e+06,66.3449,0.000153769,8.79362,689,689.213
8.78764e+06,58.7061,0.000120771,6.64369,598,597.723
8.78764e+06,52.9352,9.66561e-05,5.01814,532,531.662
8.78765e+06,48.5767,7.86625e-05,3.78905,484,483.515
8.78765e+06,45.286,6.49175e-05,2.86041,448,448.161
8.78765e+06,42.8021,5.42173e-05,2.15904,422,422.046
8.78765e+06,40.9379,4.59206e-05,1.6063,403,402.727
8.78765e+06,39.5837,3.94676e-05,1.14024,389,388.808
8.78765e+06,38.6353,3.38146e-05,0.787058,379,379.168
8.78765e+06,37.9861,2.83718e-05,0.543183,373,372.64
8.78765e+06,37.5312,2.26158e-05,0.387324,368,368.108
8.78765e+06,37.2111,1.78721e-05,0.273489,365,364.931
8.78765e+06,36.9813,1.3325e-05,0.201665,363,362.66
8.78766e+06,36.8174,7.71371e-06,0.15146,361,361.045
8.78766e+06,36.706,0,0.130266,360,359.949
