time,altitude,phase_angle,airspeed,specific_energy
11626192.8023586,37366.5934097108,20.8976215726652,2086.10986825785,2520885
11626202.8223584,36448.8746119566,19.0226354250619,2077.90164733788,2495809
11626212.8423582,35468.9096479783,17.1532896237169,2067.94223135738,2466609
11626222.8023579,34425.7079174703,15.3023891909982,2055.80425256286,2432447
11626232.8223577,33296.6767350885,13.449833498826,2040.6833515198,2391555
11626242.8423575,32077.7061598647,11.6096936572441,2021.79897278477,2342446
11626252.8023573,30767.2420281047,9.79666844499009,1998.07038561055,2283149
11626262.822357,29336.3297121087,7.99419810862161,1967.25175425537,2209320
11626272.8423568,27774.1574282106,6.22084536972689,1926.55759401971,2116133
11626282.8023566,26074.0110679901,4.49769617399185,1872.37562326077,1997945
11626292.8223564,24201.1774892566,2.81901627511285,1799.26589265259,1846810
11626302.8423562,22145.7989312763,1.21568267717391,1701.07072324647,1656266
11626312.8423559,19898.8268445909,-0.278535857749482,1569.2200600932,1420103
11626322.8023557,17491.9100077879,-1.62129445600197,1374.93274585448,1111898
11626332.8223555,14950.5911247986,-2.77199026243458,1141.74221704227,794838
11626333.8423555,14687.0227392084,-2.87649422765505,1116.51766723924,763895
11626334.8023554,14438.4828220084,-2.97262017376819,1092.59503043439,735148
11626335.8223554,14174.0371244631,-3.07236331388731,1067.00056931816,705037
11626336.8423554,13909.349118436,-3.1696238067728,1041.24203911685,675406
11626337.8023554,13660.1405772984,-3.2588788730524,1016.86616397818,647987
11626338.8223553,13395.3978871763,-3.35126968404821,990.845611359246,619383
11626339.8423553,13130.8319509674,-3.44112932871644,964.721417109175,591355
11626340.8023553,12882.1031277858,-3.52337924118502,940.05838621144,565530
11626341.8223553,12618.2376534406,-3.60828992455225,913.794702030198,538704
11626342.8423553,12354.9141383485,-3.69063648190992,887.493073292089,512538
11626343.8023552,12107.6871313914,-3.76579039413333,862.726646327704,488536
11626344.8223552,11845.7752626167,-3.84314143128025,836.425873018729,463722
11626345.8423552,11584.7867963782,-3.91791483457141,810.16824488472,439642
11626346.8023552,11340.1250189382,-3.98593615783612,785.523151040134,417669
11626347.8223551,11081.3591179281,-4.055712384447,759.44272953383,395077
11626348.8423551,10823.986476096,-4.12292466269004,733.50705591495,373282
11626349.8023551,10583.1928892265,-4.18385214861536,709.265359888497,353515
11626350.8223551,10329.0662102986,-4.24612665655915,683.72874088987,333322
11626351.8423551,10076.9068579155,-4.3058865108007,658.463742841012,313976
11626352.802355,9841.55915288953,-4.35985718631875,634.975663066714,296552
11626353.822355,9593.79295083671,-4.41481425062851,610.375485868186,278881
11626354.842355,9348.56969111017,-4.46734701126325,586.191180981021,262082
11626355.802355,9120.24990302755,-4.51461036696339,563.835196964821,247055
11626356.8223549,8880.45383705886,-4.56255122578747,540.521696950416,231899
11626357.8423549,8643.68873256538,-4.60818928728811,517.732449471438,217585
11626358.8023549,8423.70508342795,-4.64908777155735,496.8896469503,204914
11626359.8223549,8193.05439580465,-4.69041746987526,475.428431309611,192280
11626360.8423549,7965.62302573828,-4.72961859026254,454.614816187793,180430
11626361.8023548,7754.61011880869,-4.76461460750973,435.443131838355,169882
11626362.8223548,7533.85614758963,-4.79981101954228,415.160461659405,159145
11626363.8423548,7317.53098154871,-4.83289741971253,392.747346703083,148021
11626364.8023548,7119.91466599284,-4.86189012682248,368.32414855812,136835
11626365.8223547,6918.32418652996,-4.8902031590562,341.013049017817,125217
11626366.8423547,6725.07222274935,-4.91607882426898,318.68244151182,115999
11626367.8023547,6547.21709798672,-4.93876395663514,305.797274452884,110269
11626368.8223547,6358.75249684555,-4.96165122779697,297.496036859173,105956
11626369.8423547,6168.70791886514,-4.98359817682071,292.080937861292,102534
11626370.8023546,5987.47871477751,-5.00354144018831,288.353790670786,99711
11626371.8223546,5792.01029391517,-5.02405344445845,285.13783938155,96909
11626372.8423546,5593.43161698361,-5.04391122246887,282.396483410794,94220
11626373.8023546,5403.66982155049,-5.06203327507101,280.176350131172,91768
11626374.8223545,5199.01330112736,-5.08071213514719,278.138129947568,89227
11626375.8423545,4991.26995832729,-5.09882205238495,276.375611093539,86736
11626376.8023545,4792.98711580748,-5.1153664394989,274.925441858836,84423
11626377.8223545,4579.46490844048,-5.13243162676088,273.566657984501,81988
11626378.8423545,4363.11517598666,-5.14898480791415,272.359873548233,79569
11626379.8023544,4157.01707585528,-5.16411026477778,271.334590339853,77297
11626380.8223544,3935.53247077682,-5.17971167377405,270.336368915382,74884
11626381.8423544,3711.60054870206,-5.19484136838708,269.408490081716,72465
11626382.8023544,3498.73172735574,-5.20865980316489,268.580566985227,70180
11626383.8223543,3270.4547068727,-5.22290328453934,267.731400876199,67738
11626384.8423543,3040.15392438124,-5.23670303452281,266.897488409104,65281
11626385.8023543,2821.68591227289,-5.24929228716962,266.113356631096,62950
11626386.8223543,2587.88746130967,-5.26225099574694,265.268352431348,60453
11626387.8423543,2352.51494838682,-5.27478563757259,264.399308276493,57934
11626388.8023542,2129.69246294152,-5.28620071750294,263.551397715281,55541
11626389.8223542,1891.73072547454,-5.29815419876633,262.574986039803,52966
11626390.8423542,1652.68242927582,-5.30946567251276,261.603296859937,50381
11626391.8023542,1426.81842009863,-5.31974602858782,260.649998147558,47928
11626392.8223541,1186.05161241093,-5.33028664150709,259.594266066334,45303
11626393.8423541,947.941234557307,-5.340338716374,242.015379356604,38567
11626394.8023541,751.641000248608,-5.34834273763953,204.6192231922,28296
11626395.8223541,577.158407546696,-5.3551776699917,167.04805491132,19607
11626396.8423541,436.839983728481,-5.36047547774537,130.700502873435,12822
11626397.802354,335.637883226853,-5.36421443219133,97.0733141378966,8001
11626398.822354,260.973813799792,-5.36700653046178,61.5945660318398,4455
11626399.842354,219.92629734159,-5.36872141227083,31.4640724057463,2651
11626400.802354,196.107843203354,-5.36979486286287,24.7057434685289,2228
11626401.8223539,168.244385257363,-5.3707691073478,33.8726460756259,2223
11626402.8423539,132.737096101977,-5.3717213784366,33.4366422833201,1860
11626403.8023539,107.514722443535,-5.37244348160279,22.3514150909129,1304
11626404.8223539,90.0187939222669,-5.37301089380084,14.6234512829197,990
11626405.8423538,78.749176336336,-5.37341560402934,9.57131139091346,818
11626406.8023538,71.8286186326295,-5.37369920377534,6.48564890867239,725
11626407.8223538,67.0251389819896,-5.37393097583898,4.2181837205156,666
11626408.8423538,64.1895917074289,-5.37409615347928,2.55134892214741,633
11626409.8023538,62.7497637922643,-5.3742282806978,1.75815192066698,617
