time,altitude,phase_angle,airspeed,ergy,expected_ergy
3987401.98098823,66952.6637907065,107.289211993456,2105.06356859488,2806309.02154873,2778832.13318819
3987411.98098824,66840.2268721395,105.480595684066,2105.28880097711,2805890.58777346,2777447.51196641
3987421.98098825,66726.6759478149,103.671482250762,2105.50829544075,2805450.97477691,2776017.22592398
3987431.98098826,66612.0048905878,101.861873488921,2105.72198548191,2804989.98053846,2774550.93342905
3987441.98098827,66496.2018663195,100.051771178841,2105.92990389528,2804507.56659938,2773036.15071281
3987451.98098828,66379.2494115155,98.2411770098863,2106.13212953913,2804003.74677478,2771468.57591426
3987461.98098829,66261.1247891862,96.4300925526572,2106.32872358353,2803478.4554156,2769852.07810011
3987471.98098829,66141.7991097479,94.6185192833604,2106.51966842555,2802931.41184325,2768180.6233518
3987481.9809883,66021.2380376038,92.8064586246383,2106.70491194165,2802362.21891803,2766450.42881084
3987491.98098831,65899.4015044152,90.993911955341,2106.88436966449,2801770.36530428,2764661.51532999
3987501.98098832,65776.2445963741,89.1808806115627,2107.05796615009,2801155.31947504,2762802.41078523
3987511.98098833,65651.7155805043,87.367365846533,2107.22565858111,2800516.5636871,2760865.06385472
3987521.98098834,65525.757181246,85.553368795442,2107.38741880898,2799853.56629004,2758849.43094643
3987531.98098835,65398.3060295949,83.738890453427,2107.54323223734,2799165.77480035,2756750.16838644
3987541.98098836,65269.2925341511,81.9239316205967,2107.69314344419,2798452.710953,2754552.26904649
3987551.98098837,65138.6401334186,80.1084928402323,2107.83723857459,2797713.92753858,2752252.12123872
3987561.98098838,65006.2658047916,78.2925743624997,2107.97562235785,2796948.96397268,2749844.03709496
3987571.98098839,64872.1058864425,76.4761760673739,2108.10847821018,2796157.68320808,2747313.74245824
3987581.9809884,64736.1164682503,74.6592973850574,2108.23621188007,2795340.56532973,2744646.64989077
3987591.98098841,64598.107121672,72.8419368016973,2108.35979516511,2794498.10568011,2741838.08869043
3987601.98098842,64457.7671115989,71.0240921195663,2108.47900972939,2793627.33681606,2738878.76397632
3987611.98098842,64314.9667335365,69.2057613184447,2108.59323820369,2792725.91722319,2735753.61477325
3987621.98098843,64169.99588116,67.3869420555015,2108.70342215855,2791798.14538664,2732458.30013773
3987631.98098844,64023.0489166995,65.5676303941291,2108.81082751435,2790848.19336377,2728974.32070903
3987641.98098845,63873.8274220615,63.7478217982251,2108.91503795049,2789872.73440008,2725281.37352695
3987651.98098846,63721.4669496616,61.9275116305444,2109.01582104786,2788864.31321653,2721369.98517485
3987661.98098847,63565.5602049143,60.1066949062269,2109.11332546506,2787819.98427327,2717226.48834771
3987671.98098848,63406.0261587201,58.2853654775231,2109.20905367956,2786742.23388191,2712819.76938664
3987681.98098849,63243.2078680481,56.4635158459786,2109.30312635755,2785634.0767969,2708117.21935587
