time,altitude,phase_angle,airspeed
3988831.6188122,68565.8152707904,-150.795962974489,2101.00173353854
3988841.61881221,68476.1686845059,-152.596699254812,2101.25477512192
3988851.61881222,68384.8936007009,-154.39789547071,2101.50767804137
3988861.61881223,68292.0391850995,-156.19955581326,2101.76009571826
3988871.61881224,68197.6481433935,-158.001684064081,2102.0116971056
3988881.61881225,68101.7635923128,-159.804283605335,2102.26215061569
3988891.61881226,68004.424621139,-161.607357434344,2102.51112745379
3988901.61881227,67905.6678917491,-163.410908165482,2102.75830203398
3988911.61881228,67805.5262204596,-165.214938040298,2103.00332881631
3988921.61881229,67704.0302677226,-167.019448917907,2103.24586969378
3988931.6188123,67601.2080251824,-168.824442291386,2103.48557233786
3988941.61881231,67497.0804049883,-170.629919284514,2103.72207411844
3988951.61881232,67391.6707556846,-172.435880647635,2103.95500394843
3988961.61881233,67284.9946566422,-174.242326773104,2104.18399039983
3988971.61881233,67177.0627465654,-176.049257699429,2104.40866785529
3988981.61881234,67067.8846052495,-177.856673133133,2104.62867249867
3988991.61881235,66957.4618421666,-179.664572475957,2104.84366623902
3989001.61881236,66845.7838346113,178.527045136946,2105.05335824746
3989011.61881237,66732.8407960597,176.718180771343,2105.25752466858
3989021.61881238,66618.5900569626,174.908835624733,2105.45601140687
3989031.61881239,66503.0086838204,173.099010934211,2105.6487482111
3989041.6188124,66386.0753263511,171.288707938243,2105.83564473648
3989051.61881241,66267.7604861333,169.477927863311,2106.01663277602
3989061.61881242,66148.0275322652,167.666671885417,2106.1916599726
3989071.61881243,66026.8323871506,165.854941102176,2106.36069775471
3989081.61881244,65904.1243103994,164.042736496727,2106.5237408472
3989091.61881245,65779.8458938666,162.230058896155,2106.68080419175
3989101.61881246,65653.9328944522,160.416908946626,2106.83191806486
3989111.61881247,65526.3145431187,158.603287066852,2106.97714538181
3989121.61881247,65396.9136879053,156.78919341785,2107.11656415099
3989131.61881248,65265.6467288199,154.974627865374,2107.25027154579
3989141.61881249,65132.4229997686,153.159589948155,2107.3783817747
3989151.6188125,64997.1453711783,151.344078841608,2107.50103464149
3989161.61881251,64859.7099683074,149.528093317745,2107.61838561459
3989171.61881252,64720.0064050851,147.711631718569,2107.73060599729
3989181.61881253,64577.9174931617,145.894691916043,2107.83788688542
3989191.61881254,64433.3190053966,144.077271285361,2107.94043953541
3989201.61881255,64286.080374848,142.25936666258,2108.03848149438
3989211.61881256,64136.0636303287,140.44097432488,2108.13224644114
3989221.61881257,63983.1240293145,138.622089949454,2108.221986471
3989231.61881258,63827.1097250471,136.802708590382,2108.3079635003
3989241.61881259,63667.8619171078,134.982824647023,2108.39043719267
3989251.6188126,63505.2149984916,133.162431847379,2108.46967853116
3989261.6188126,63338.99588332,131.341523224628,2108.54595450584
3989271.61881261,63169.0253130905,129.520091081087,2108.61953831667
3989281.61881262,62995.1174794254,127.698126988427,2108.69071275814
3989291.61881263,62817.0787023741,125.875621764579,2108.75972890627
3989301.61881264,62634.7084057505,124.052565421505,2108.82690024904
3989311.61881265,62447.7996434596,122.228947217979,2108.89237089193
3989321.61881266,62256.1384246221,120.404755653245,2108.9563572598
3989331.61881267,62059.5060582911,118.579978392135,2109.01941424341
3989341.61881268,61857.6728411075,116.754602045154,2109.08164620747
3989351.61881269,61650.3946368251,114.92861269308,2109.14280321341
3989361.6188127,61437.4101641767,113.101995976075,2109.20250513831
3989371.61881271,61218.4482469306,111.274737221493,2109.26024015399
3989381.61881272,60993.2316673113,109.446821511824,2109.31532867707
3989391.61881273,60761.4848166897,107.618233883269,2109.36681631221
3989401.61881274,60522.9313420402,105.788959592781,2109.41326266909
3989411.61881274,60277.297206553,103.95898498698,2109.45203608443
3989421.61881275,60024.2841166183,102.128296321506,2109.48369784538
3989431.61881276,59763.5455424886,100.296879390748,2109.50645400241
3989441.61881277,59494.7025353407,98.4647206964958,2109.51990428885
3989451.61881278,59217.2847768542,96.6318032093999,2109.52716921818
3989461.61881279,58930.8300172552,94.7981123482415,2109.51905796811
3989471.6188128,58634.9895988272,92.9636390649236,2109.48828438504
3989481.61881281,58329.4649551826,91.1283768700739,2109.43536524628
3989491.61881282,58013.7025745636,89.2923172697524,2109.36077680418
3989501.61881283,57687.0707085885,87.4554513779603,2109.26095187821
3989511.61881284,57349.0056466704,85.6177725792507,2109.13133688249
