time,altitude,phase_angle,airspeed,ergy
6698384.73315093,63607.8838176434,141.07049513419,2112.61847687894,2795568
6698394.8731507,63396.94208113,139.220482687957,2113.17043391464,2795043
6698404.79315048,63190.0493021701,137.409574060236,2113.70347360122,2794509
6698414.71315026,62982.7130264853,135.597646294599,2114.22931470056,2793956
6698424.85315003,62770.3968058251,133.744486038758,2114.75905176338,2793370
6698434.77314981,62562.3839838803,131.930511613017,2115.26940037559,2792777
6698444.69314959,62354.1363057283,130.115533019038,2115.77166508176,2792165
6698454.83314936,62141.0886825082,128.259271106425,2116.27643975912,2791518
6698464.75314914,61932.5392006276,126.442280096463,2116.76140049745,2790864
6698474.89314892,61719.285901453,124.583974784744,2117.24753116424,2790175
6698484.81314869,61510.6220900414,122.764999208718,2117.71322767419,2789478
6698494.73314847,61301.9529694885,120.945053924122,2118.16863864431,2788758
6698504.87314825,61088.6753535339,119.083753537263,2118.62300222204,2787999
6698514.79314802,60880.0596848661,117.26187363787,2119.05611482849,2787231
6698524.7131478,60671.4853485022,115.439051021539,2119.47744844766,2786437
6698534.85314758,60458.3259560959,113.57483886374,2119.89545689301,2785599
6698544.77314735,60249.8196920017,111.750140464131,2120.29150541747,2784750
6698554.69314713,60041.3210765077,109.9245303873,2120.67431483845,2783873
6698564.83314691,59828.1753865466,108.057502267252,2121.05141697948,2782945
6698574.75314668,59619.5911527234,106.230082737078,2121.40595848663,2782005
6698584.89314646,59406.2639841532,104.361229175988,2121.75315095862,2781010
6698594.81314624,59197.3887810217,102.532048051209,2122.07742301807,2780002
6698604.73314601,58988.2667865176,100.702014200238,2122.38597384986,2778957
6698614.87314579,58774.1649981856,98.8305266352077,2122.68463729454,2777850
6698624.79314557,58564.2768452812,96.9988067288014,2122.9601648065,2776727
6698634.71314534,58353.8536521607,95.1662720086489,2123.21905626425,2775563
6698644.85314512,58138.0860215878,93.2922671356011,2123.46637246491,2774330
6698654.7731449,57926.2017102225,91.4581222013015,2123.69130655777,2773080
6698664.69314467,57713.3811577627,89.6231989492668,2123.89938547413,2771786
6698674.83314445,57494.7075627398,87.7467892672949,2124.09468924014,2770415
6698684.75314423,57279.4938625542,85.9103263183222,2124.2689683306,2769027
6698694.893144,57057.9989713092,84.0323646073396,2124.43033064157,2767560
6698704.81314378,56839.6304895454,82.1944031762162,2124.57172231083,2766074
6698714.73314356,56619.3857638513,80.3557144185597,2124.69676190569,2764537
6698724.87314333,56392.07979505,78.4755052732502,2124.80764653022,2762910
6698734.79314311,56167.3283226448,76.6353705535152,2124.89959447912,2761263
6698744.71314288,55939.9656407912,74.7945316947672,2124.9751826806,2759559
6698754.85314266,55704.5767928313,72.9121465882101,2125.03548720219,2757755
6698764.77314244,55471.0807326158,71.0699023310224,2125.07776125176,2755927
6698774.69314221,55234.0970607593,69.2269708362103,2125.10331384169,2754033
6698784.69314199,54991.3438670452,67.3647680394921,2125.11189787835,2752055
6698794.81314177,54741.3992663519,65.4832768018768,2125.10264887977,2749977
6698804.79314154,54490.3339988093,63.6271247193587,2125.07537128109,2747851
6698814.77314132,54234.3066751821,61.7702905191971,2125.02954303328,2745643
6698824.7531411,53972.8874868952,59.9127760568641,2124.96452415621,2743347
6698834.73314087,53705.6464631624,58.0545826524046,2124.87952467229,2740960
6698844.92575794,53425.9285479439,56.1561018051648,2124.77222021499,2738420
6698854.69436628,53150.233374926,54.3359297931989,2124.6512335506,2735882
6698864.89436621,52854.9908278404,52.4346765917298,2124.50065960712,2733118
6698874.67436614,52564.3069783206,50.6110385727517,2124.33143805685,2730350
6698884.87436607,52252.6207451519,48.7083846883137,2124.12714115105,2727330
6698895.074366,51931.606087464,46.805016593384,2123.89218829963,2724166
6698904.88980542,51613.5092298095,44.9727357898727,2123.63384441237,2720974
6698914.76980543,51283.8174431396,43.1277402001989,2123.33834275616,2717604
6698924.92980544,50933.6493722713,41.2297676445257,2122.99570661065,2713960
6698934.80980545,50581.5528414837,39.3834343321938,2122.62100856901,2710230
6698944.68980545,50217.2520773303,37.5364482690504,2122.20111036955,2706298
6698954.84980546,49829.0398977208,35.6364449361631,2121.7170204903,2702027
6698964.72980547,49437.4306245131,33.7881584188458,2121.1896044772,2697632
6698974.88980548,49019.2387437255,31.886840612668,2120.58204519143,2692841
6698984.76980549,48596.4839156036,30.0373048628419,2119.92030143115,2687893
6698994.9298055,48144.0619912706,28.1347408264739,2119.15749435598,2682476
6699004.87787679,47682.3841093185,26.2712885592776,2118.31901356103,2676817
6699014.93780352,47195.5562347827,24.3863395609222,2117.36402105165,2670694
6699024.77958074,46699.0336236233,22.5417821296818,2116.30684670266,2664268
6699034.75958052,46173.3292867235,20.6708915065184,2115.09340566504,2657260
6699044.73958029,45623.3700977048,18.7996451777403,2113.70988135878,2649680
6699054.71958007,45047.3861350279,16.9281454887132,2112.11697768089,2641432
6699064.69957985,44443.4258172794,15.0565218805229,2110.28127647211,2632427
6699074.67957962,43809.338360884,13.1849314440993,2108.16383707761,2622566
6699084.7995794,43133.1512180991,11.2873152125914,2105.68209739653,2611571
6699094.77957917,42430.8988195227,9.41640867108318,2102.85053800738,2599613
6699104.75957895,41690.5197203266,7.54623459079449,2099.57514409966,2586390
6699114.71957873,40910.3470003057,5.68086467652806,2095.79994671627,2571773
6699124.67957851,40085.3032112927,3.81695122212371,2091.38702261857,2555434
6699134.79957828,39196.8576827314,1.92513446776979,2086.08983710932,2536704
6699144.77957806,38266.5209682379,0.0621932355051454,2079.86344545847,2515684
6699154.75957783,37277.0953813735,-1.79716457571432,2072.34157114771,2491480
6699164.73957761,36222.5781939186,-3.6516796701611,2063.01560475034,2463015
6699174.71957739,35096.0070655107,-5.49960081280311,2051.30343266732,2429078
6699184.69957716,33889.2000776249,-7.33857492225861,2036.44931863965,2388135
6699194.67957694,32592.4946392279,-9.16545393225963,2017.47243861742,2338253
6699204.79957671,31174.081394894,-11.0013020143204,1992.65508289051,2275951
6699214.77957649,29659.7276741412,-12.7894697676809,1960.51493445611,2198971
6699224.75957627,28015.3625766714,-14.5471481974742,1917.46033060939,2100808
6699234.73957605,26224.2052866225,-16.2622996212115,1858.93542741447,1974223
6699244.73957582,24264.5831052546,-17.9212768825568,1779.31723632909,1811690
6699254.7195756,22128.2455150684,-19.4947307857959,1672.01689562913,1607106
6699264.75957537,19789.5455286804,-20.9608412098529,1526.46008975976,1352913
6699274.71957515,17314.0705282385,-22.2568584215994,1319.67278251001,1035799
6699284.67957493,14745.9702787536,-23.3432811687268,1077.50224430344,721645
6699285.67957491,14484.9713979549,-23.4395330889449,1051.99271620845,692045
6699286.67957488,14223.741482778,-23.5333573703275,1026.34975148004,662954
6699287.67957486,13962.3995626386,-23.6247387042389,1000.59245844454,634403
6699288.67957484,13701.0754007109,-23.7136637338595,974.746938827777,606428
6699289.67957482,13439.9053367607,-23.8001215392266,948.835869803299,579058
6699290.6795748,13179.0342640529,-23.8841036703967,922.885404090766,552323
6699291.67957477,12918.6115616844,-23.9656033173408,896.913558038794,526245
6699292.67957475,12658.7952083782,-24.0446166327694,870.951925488524,500854
6699293.67957473,12399.7528806854,-24.1211424494698,845.025155532319,476172
6699294.67957471,12141.6460665147,-24.1951829127311,819.173132139126,452229
6699295.67957468,11884.6376837413,-24.2667418474004,793.40975051966,429034
6699296.67957466,11628.9235913255,-24.3358274839483,767.775934698878,406612
6699297.67957464,11374.6886403665,-24.4024513605242,742.308318812004,384983
6699298.67957462,11122.1013207937,-24.4666281270483,717.041721330533,364160
6699299.67957459,10871.3215671019,-24.5283759048822,692.019963428253,344160
6699300.67957457,10622.4984806259,-24.58771615496,667.276797442409,324988
6699301.67957455,10375.7942140405,-24.644674865337,642.860041631444,306657
6699302.67957453,10131.3560657898,-24.6992816820341,618.810840228875,289168
6699303.6795745,9889.31359027047,-24.7515701326156,595.178751297584,272527
6699304.67957448,9649.77944209578,-24.8015774524395,571.992152439657,256722
6699305.67957446,9412.88509255229,-24.8493437639304,549.266688247205,241730
6699306.67957444,9178.75979771453,-24.8949102404508,527.015129417329,227529
6699307.67957442,8947.52108670212,-24.9383197367901,505.26874048468,214104
6699308.67957439,8719.2760298478,-24.9796184346924,484.07558031126,201447
6699309.67957437,8494.09441834583,-25.0188618459865,463.572585845815,189586
6699310.67957435,8272.03173446248,-25.0561093559187,443.668673540075,178439
6699311.67957433,8053.21773295302,-25.091408251238,424.204071680615,167904
6699312.6795743,7837.95204840438,-25.124781684252,404.431731253583,157655
6699313.67957428,7627.38967234036,-25.1561296961376,382.271591537925,146926
6699314.67957426,7423.46789528476,-25.1852456022346,357.495743018842,135811
6699315.67957424,7227.50875755912,-25.2120249935798,332.892373792227,125443
6699316.67957421,7038.4041127708,-25.2366936985754,313.957279412295,117507
6699317.67957419,6852.47883471427,-25.2598047124969,302.139233985249,112085
6699318.67957417,6666.6950599316,-25.2818017427998,294.679629947836,108078
6699319.67957415,6479.35788387852,-25.3029336493441,289.602749996762,104797
6699320.67957412,6289.62232692284,-25.3233331575617,285.821474409336,101887
6699321.6795741,6097.1259105535,-25.3430713836508,282.738881514812,99162
6699322.67957408,5901.74775119498,-25.3621902902874,280.14252817212,96553
6699323.67957406,5703.43112260406,-25.3807231272,277.956136198491,94035
6699324.67957404,5502.15479604935,-25.398698462053,276.113287865165,91587
6699325.67957401,5297.92980283452,-25.4161410395843,274.556850204433,89191
6699326.67957399,5090.79551364703,-25.4330726012288,273.23769441309,86833
6699327.67957397,4880.8155260213,-25.4495126091759,272.113480607557,84501
6699328.67957395,4668.07344238414,-25.4654787702353,271.147563083457,82185
6699329.67957392,4452.66869320243,-25.480987397944,270.308424853078,79877
6699330.6795739,4234.7128038716,-25.49605356618,269.568805213895,77571
6699331.67957388,4014.32614846027,-25.5106910769033,268.90524335337,75260
6699332.67957386,3791.63484026166,-25.5249122459724,268.297534141967,72942
6699333.67957383,3566.76823834004,-25.5387275951307,267.72817672428,70611
6699334.67957381,3339.85711467476,-25.5521455915091,267.181999268804,68265
6699335.67957379,3111.03245125012,-25.5651725804574,266.645823829534,65901
6699336.67957377,2880.42474312964,-25.5778130361396,266.108147424487,63519
6699337.67957374,2648.16385461157,-25.590070175165,265.558854383338,61116
6699338.67957372,2414.37949678046,-25.6019468678298,264.988955821974,58692
6699339.6795737,2179.20205198647,-25.6134466699448,264.390338129543,56244
6699340.67957368,1942.76382924838,-25.6245746855017,263.755516421522,53774
6699341.67957366,1705.20038414584,-25.63533803103,263.077434227762,51280
6699342.67957363,1466.65181640699,-25.6457457317763,262.349284204828,48761
6699343.67957361,1227.26382214751,-25.6558080785266,261.56433043567,46219
6699344.67957359,987.18855037482,-25.6655355502573,260.715762843889,43651
6699345.81957356,746.832314223517,-25.675210561998,192.109086117393,25733
6699346.77957354,599.634692738066,-25.6775441766514,141.944666957931,15923
6699347.73957352,485.781613577623,-25.6808968803047,112.910128834983,11114
6699348.6995735,395.813674793579,-25.684061945679,88.7694722312854,7803
6699349.81957347,314.866817123489,-25.6880757064129,66.8046697806094,5305
6699350.77957345,261.488556913799,-25.6907684018418,52.2996670959178,3921
6699351.73957343,219.563744080835,-25.692756355199,40.9011558478568,2981
6699352.69957341,186.607621424831,-25.6941829863855,31.9806463428472,2335
6699353.81957338,156.938278892194,-25.6953222027897,23.9989927895216,1822
6699354.79957336,136.972279562964,-25.6959838390442,18.6787696110862,1514
6699355.77957334,121.327007163665,-25.6964354437086,14.546616060583,1293
6699356.75957332,107.898874190403,-25.6967315827158,16.616540165471,1193
6699357.7195733,91.1628633361543,-25.6969810171943,16.0184106877703,1019
6699358.67957328,77.6848436038708,-25.6971825882018,12.5627524244505,838
6699359.79957325,65.541649706196,-25.6973512931513,9.49913321166903,686
6699360.75957323,57.5191155988723,-25.6974502718071,7.45678340467432,590
6699361.71957321,51.218527132296,-25.6975230928983,5.85096630254024,518
6699362.67957319,46.2680457137758,-25.6975773734315,4.59567517736961,463
6699363.79957316,41.8165999392513,-25.6976236758705,3.46694546063113,415
6699364.75957314,38.882803680608,-25.6976533067412,2.72046218401642,384
6699365.71957312,36.5787531625247,-25.6976762647482,2.13676888664278,361
6699366.6795731,34.772230827366,-25.6976942697113,1.66976667379837,342
6699367.79957307,33.1694520935416,-25.6977089769123,1.21738494264388,326
6699368.75957305,32.180078593432,-25.6977186380883,0.869537739306465,316
6699369.71957303,31.4668281601043,-25.6977272590972,0.642814379553727,309
6699370.67957301,30.9405716472538,-25.6977355991849,0.479090172094291,303
6699371.79957298,30.5055780033581,-25.6977455715758,0.316822017944479,299
6699372.75957296,30.2593827699311,-25.697751379655,0.217155122578861,297
6699373.71957294,30.0938249775209,-25.6977565983124,0.143793037027501,295
6699374.67957292,29.9995794435963,-25.69776258281,0.0975937190246799,294
6699375.79957289,29.9706983482465,-25.6977722118039,0.135850586479694,294
